title,sentiment_score,total score
"Merry Christmas, Baby (Lucky Harbor, #12.5)",0.90345,2
Midwinterblood,0.8372999999999999,4
"Million Baller Baby (Bad Boy Ballers, #1)",0.9969,1
"Monstress, Vol. 1: Awakening (Monstress, #1)",0.7107209302325582,43
Moonburner (Moonburner Cycle #1),0.9879,1
"Mortal Arts (Lady Darby Mystery, #2)",0.18114999999999998,2
"Mortal Engines (The Hungry City Chronicles, #1)",0.5563,2
Mr. President,0.8268,1
"Murder Unleashed (Dead-End Job Mystery, #5)",-0.2145,1
My Everything (The Beaumont Series #1.5),0.9951,1
My Forever is You Book 2 of 2: Resolution,0.7984,1
My Pet Book,0.81465,2
"Nadar (Alien Warlord's Conquest, #1)",0.4805,1
"Nailbiter, Vol. 5: Bound by Blood",0.454175,4
"Nevermore (Maximum Ride, #8)",0.7289444444444445,9
Nowhere Ranch,0.9987,1
"Old City Hall (Detective Greene, #1)",0.9503,1
"Once Upon a Road Trip (Once Upon a Road Trip, #1)",0.9963500000000001,2
"One Night with the Cowboy (Whiskey River, #2)",0.9909,1
"Out of Order (The Survivor's Club, #1)",-0.3977,1
Penpal,0.039257142857142865,7
"Phantom Evil (Krewe of Hunters, #1)",0.4041,4
Phantom Kiss (Chicagoland Vampires #12.5),0.3751,3
"Phantom Shadows (Immortal Guardians, #3)",0.7270666666666666,6
"Picking up the Pieces (Picking up the Pieces, #1)",0.9989,1
"Picture Perfect (Aliso Creek, #1)",0.5574,1
"Playing the Game (Neighborly Affection, #1)",0.996,1
"Poison Promise (Elemental Assassin, #11)",0.0,1
Pride and Prejudice,0.6723999999999999,2
Prom and Prejudice,0.7476857142857144,7
"Proof (Bloodline Trilogy, #1)",0.7178,1
Ragnar's Claw,-0.29600000000000004,1
"Romancing the Duke (Castles Ever After, #1)",0.0,1
"Rough Justice (Sinner's Tribe Motorcycle Club, #1)",-0.4588,1
Sacrificed in Shadow (Ascension #1),0.70415,2
Salvage Trouble (Black Ocean #1),0.9729,1
Scandal: His Majesty's Love-Child (Dark-Hearted Desert Men #4),0.5106,1
"Second Kiss (Second Kiss, #1)",0.9837,1
"Secrets of the Sands (Children of the Desert, #1)",0.9949,1
See You at Harry's,0.5969272727272728,11
"Send Lawyers, Guns, and Roses (Heart and Haven, #2)",-0.6233,2
Seniorella,0.7184,1
Shifter Woods: Howl,0.9617,1
"Shiver (The Wolves of Mercy Falls, #1)",0.7181934782608694,46
"Sign, SEAL, Deliver (SEAL It With A Kiss Book 2)",0.6369,1
"Simply Irresistible (Chinooks Hockey Team, #1)",0.9892,1
"Skin Deep (Skin Deep, #1)",0.9158999999999999,2
"So Close to You (So Close to You, #1)",-0.06706666666666668,3
Sophie's Squash,0.6904166666666667,6
Southcrop Forest,0.9965,1
"Spirit (Gothika, #4)",0.9993,1
"Stargazer (Shayne's Supernaturals, #5)",0.7906,1
"Still Life in Brunswick Stew (A Cherry Tucker Mystery, #2)",-0.9524,1
Storm Runners (Storm Runners #1),0.5932,3
Strega Nona,0.5093909090909091,11
"Surrender (Steel Brothers Saga, #6)",0.836,1
"Swipe (Swipe, #1)",0.6742,2
"Swords of Mars (Barsoom, #8)",0.4939,1
Taffeta and Hotspur,0.9778,1
"Take (Scars of the Wraiths, #4)",-0.6597,1
Take a Chance: Erotic Romance Boxed Set,0.9387,1
"Taken: A One to Take Primer (One to Hold, #7.5)",0.9952,1
"Taking Faith (Stolen Hearts, #1.5)",0.7227,1
"Taunting Destiny (The Fae Chronicles, #2)",0.4233,2
"The Big Sleep (Philip Marlowe, #1)",0.8834,1
The Blue Moon Narthex,0.47324999999999995,2
"The Boyfriend Mandate (The Boyfriend Chronicles, #2)",0.9841,1
The Brilliant Fall of Gianna Z.,0.6450333333333333,3
"The Burning Room (Harry Bosch, #19; Harry Bosch Universe, #26)",0.5638785714285716,14
"The CEO's Seduction (Hamilton Family, #1)",0.4215,1
The Cairo Affair,0.043050000000000005,4
The Candymakers and the Great Chocolate Chase,0.9904,1
The Center of Everything,0.6750666666666666,9
"The Champion of Garathorm (The Chronicles of Castle Brass, #2)",0.9877,1
"The Chessmen of Mars (Barsoom, #5)",0.8957,1
"The Christmas Cookie Shop (Christmas Town, #1)",0.9948,1
The Couple Next Door,0.42834000000000005,35
The Cow Who Climbed a Tree,0.9074,2
"The Crimson Crown (Seven Realms, #4)",0.9209,1
"The Curse of the Mistwraith (Wars of Light and Shadow, #1)",0.91045,2
The Curse of the Rose (The Rose Chronicles #1),0.9947,1
"The Darkest Minds (The Darkest Minds, #1)",0.46240983606557373,61
The Deep,0.335725,12
The Dreamsnatcher (Dreamsnatcher #1),0.9936,1
The Dumas Club,0.5849,1
The Encyclopedia of Early Earth,0.85119375,16
"The Final Rule (My Brother's Keeper, #3)",0.5204,1
The Fixer Upper,0.6652,1
